"TL0_1"	"TL0_2"	"TL0_3"	"TL1_1"	"TL1_2"	"TL1_3"
"LOC107769312"	8	20	21	8	24	18
"LOC107769400"	1	0	0	0	0	0
"LOC107769485"	963	963	1097	699	680	839
"LOC107769568"	2105	1880	2303	1309	1238	1579
"LOC107769733"	0	0	0	0	0	0
"LOC107769909"	0	0	0	0	0	0
"LOC107770085"	638	739	615	745	993	832
"LOC107770169"	0	0	0	0	0	0
"LOC107770253"	1235	903	1843	305	508	505
"LOC107770515"	46	35	112	108	89	69
"LOC107770655"	358	435	385	334	241	369
"LOC107770999"	91	118	97	182	173	151
"LOC107771059"	0	0	0	0	0	0
"LOC107771150"	450	423	468	182	238	286
"LOC107771316"	0	0	0	0	0	0
"LOC107771487"	2	0	0	0	0	2
"LOC107771956"	188	106	213	239	222	272
"LOC107771877"	1383	1315	1249	558	660	641
"LOC107771629"	0	0	0	0	0	0
"LOC107772037"	481	443	463	205	268	278
"LOC107772116"	0	0	0	2	0	0
"LOC107772383"	987	666	1012	463	491	630
"LOC107772476"	1390	1084	1438	236	293	488
"LOC107772293"	1793	1580	1848	243	248	201
"LOC107773127"	532	566	452	210	163	223
"LOC107772968"	0	0	0	0	0	0
"LOC107773225"	504	447	520	278	331	324
"LOC107773066"	0	0	0	0	0	0
"LOC107773326"	505	639	594	523	413	491
"LOC107773627"	2885	2964	3123	2397	2245	2297
"LOC107773713"	157	165	258	290	322	500
"LOC107773805"	1348	1200	1049	619	596	744
"LOC107773898"	325	265	324	352	344	354
"LOC107773979"	261	359	292	116	181	143
"LOC107774115"	518	470	510	432	403	525
"LOC107774362"	36	16	12	2	2	4
"LOC107774510"	1096	1146	1319	633	706	926
"LOC107774582"	11077	8874	10747	5789	6836	7708
"LOC107774660"	83	29	54	12	32	45
"LOC107774792"	120	224	175	104	87	91
"LOC107774960"	84	90	108	54	125	61
"LOC107775045"	17	10	12	22	12	22
"LOC107775402"	58	69	71	171	185	108
"LOC107775488"	848	912	1227	1197	1307	1526
"LOC107774904"	0	0	0	0	0	0
"LOC107775661"	0	0	7	8	6	0
"LOC107775988"	307	323	236	134	166	141
"LOC107776043"	71	46	82	60	67	52
"LOC107776119"	263	283	332	191	243	227
"LOC107776196"	324	401	383	319	363	315
"LOC107776284"	39	87	84	22	34	82
"LOC107776365"	0	0	0	0	0	0
"LOC107776588"	0	0	2	0	2	0
"LOC107776444"	1124	1102	1079	1414	1289	1480
"LOC107776753"	367	454	440	492	452	437
"LOC107776674"	2	6	4	0	0	0
"LOC107777242"	0	0	0	0	0	0
"LOC107777159"	7	2	4	2	2	2
"LOC107777074"	0	0	0	0	0	4
"LOC107777609"	18	14	14	26	23	35
"LOC107777325"	182	207	215	159	128	179
"LOC107777681"	79	85	105	28	22	36
"LOC107777719"	6237	6546	8620	700	569	697
"LOC107777969"	96	80	129	66	68	80
"LOC107777798"	0	0	0	2	6	0
"LOC107777881"	0	0	0	0	0	0
"LOC107778054"	0	0	0	0	0	0
"LOC107778228"	249	222	329	313	305	386
"LOC107778312"	168	209	176	83	120	141
"LOC107778476"	183	213	271	238	166	178
"LOC107778551"	60	43	42	37	32	26
"LOC107778637"	336	276	321	334	345	390
"LOC107778728"	5	1	18	0	0	0
"LOC107778806"	79	49	73	158	172	114
"LOC107778892"	0	0	0	0	0	0
"LOC107778976"	144	218	187	267	275	284
"LOC107779119"	0	0	0	4	0	0
"LOC107779191"	4	0	4	0	2	0
"LOC107779428"	46	40	75	78	113	64
"LOC107779270"	0	0	0	0	0	0
"LOC107779352"	3	0	0	9	6	2
"LOC107779624"	35	42	57	23	27	29
"LOC107779791"	281	244	269	284	222	201
"LOC107779704"	15	3	20	25	44	14
"LOC107779873"	123	126	142	118	134	161
"LOC107780018"	0	4	6	0	0	0
"LOC107780189"	1290	1132	1147	1366	1491	1468
"LOC107780279"	198	168	240	178	203	217
"LOC107780457"	312	313	516	426	467	529
"LOC107780635"	0	0	0	1	0	0
"LOC107780803"	810	583	990	424	507	537
"LOC107780958"	360	320	418	416	425	406
"LOC107781046"	84	97	93	180	199	236
"LOC107781123"	1354	1364	1526	2967	3060	3731
"LOC107781291"	0	0	1	0	0	0
"LOC107781373"	0	0	0	0	0	0
"LOC107781620"	0	0	0	0	0	0
"LOC107782065"	885	415	902	272	263	491
"LOC107781895"	172	171	184	183	182	162
"LOC107781823"	0	0	0	0	0	0
"LOC107782146"	1	0	0	18	3	3
"LOC107782314"	27	67	39	42	32	64
"LOC107782400"	0	0	0	0	0	0
"LOC107782493"	365	317	453	238	237	232
"LOC107782733"	231	233	306	135	143	181
"LOC107782794"	4	12	28	13	8	8
"LOC107782961"	112	136	209	117	106	146
"LOC107782884"	0	0	0	0	0	0
"LOC107783051"	0	1	0	0	0	0
"LOC107783139"	6	4	2	4	2	0
"LOC107783231"	16	8	12	2	10	2
"LOC107783418"	111	111	113	78	123	130
"LOC107783722"	387	398	354	333	261	231
"LOC107783593"	12	1	12	2	10	10
"LOC107783799"	555	921	515	256	184	209
"LOC107783886"	80	50	123	100	75	184
"LOC107784038"	17	8	34	14	22	45
"LOC107784124"	8	3	3	2	0	7
"LOC107784209"	17	17	14	51	28	30
"LOC107784369"	0	0	0	0	0	0
"LOC107784614"	0	4	0	2	0	4
"LOC107784708"	4	14	6	2	6	19
"LOC107784791"	237	199	289	296	307	355
"LOC107784877"	414	396	583	371	422	581
"LOC107785036"	0	0	0	0	0	0
"LOC107785117"	0	0	0	0	0	0
"LOC107785205"	508	443	534	453	444	630
"LOC107785383"	56	67	77	62	82	59
"LOC107785551"	92	84	74	28	34	50
"LOC107785628"	8	16	27	46	32	41
"LOC107785792"	27	76	47	17	31	38
"LOC107785705"	0	0	0	0	0	0
"LOC107785988"	5	1	6	0	0	1
"LOC107786189"	219	237	269	252	308	315
"LOC107786046"	833	712	995	465	529	743
"LOC107786280"	0	25	3	0	0	0
"LOC107786357"	0	0	0	0	0	0
"LOC107786443"	18	70	21	30	0	11
"LOC107786522"	2328	2234	2562	1684	1825	2014
"LOC107786598"	310	240	310	210	188	272
"LOC107786840"	4	2	8	0	6	2
"LOC107786932"	0	34	22	33	35	41
"LOC107787212"	180	182	193	98	79	123
"LOC107787158"	0	0	0	0	0	0
"LOC107787293"	487	598	610	456	421	522
"LOC107787375"	186	81	164	25	41	58
"LOC107787450"	0	0	0	0	0	0
"LOC107787687"	882	662	1081	628	637	937
"LOC107787610"	0	0	0	0	0	0
"LOC107787774"	324	278	342	203	179	185
"LOC107787833"	3187	2250	3352	2239	2295	2619
"LOC107787921"	73	50	128	52	48	128
"LOC107788050"	40	49	58	43	72	25
"LOC107788000"	6	0	6	0	4	4
"LOC107788215"	0	0	0	0	0	0
"LOC107788303"	0	0	0	0	0	0
"LOC107788562"	1320	1296	1725	857	1012	1291
"TRNAA-AGC"	0	0	0	0	0	0
"LOC107788646"	1860	2361	2458	1157	1069	1506
"LOC107788784"	80	80	70	42	54	100
"LOC107788863"	152	227	210	454	442	462
"LOC107788945"	6	11	1	2	0	0
"LOC107788999"	591	388	591	463	467	451
"LOC107789081"	732	675	837	632	577	666
"LOC107789230"	2446	2507	2480	2695	3119	2479
"LOC107789376"	0	0	0	0	0	0
"LOC107789531"	10	14	14	6	5	2
"LOC107789612"	4	4	8	0	0	26
"LOC107789693"	0	0	0	0	0	0
"LOC107789868"	2	1	4	8	21	6
"LOC107789776"	1	0	2	0	0	0
"LOC107790043"	37	76	77	55	53	63
