"TL0_1"	"TL0_2"	"TL0_3"	"TL1_1"	"TL1_2"	"TL1_3"
"LOC107784000"	248	263	332	168	191	151
"LOC107784001"	138	128	100	8	2	10
"LOC107784002"	0	0	0	0	0	0
"LOC107784003"	5	4	0	0	2	0
"LOC107784004"	968	971	856	417	451	531
"LOC107784005"	0	0	0	0	0	0
"LOC107784006"	4284	4528	3786	3724	3498	4140
"LOC107784007"	92	49	113	52	81	56
"LOC107784009"	655	513	655	563	639	846
"LOC107784010"	307	320	385	240	191	288
"LOC107784012"	166	163	197	158	188	267
"LOC107784013"	33	43	14	12	41	18
"LOC107784014"	0	0	0	0	0	0
"LOC107784015"	658	679	694	614	536	586
"TRNAN-GUU_46"	0	0	0	0	0	0
"LOC107784016"	38	32	18	24	23	21
"LOC107784018"	445	463	486	267	282	352
"LOC107784020"	26	44	27	16	18	49
"LOC107784022"	132	157	185	92	148	168
"LOC107784023"	8	4	2	6	11	12
"LOC107784024"	122	120	173	73	113	127
"LOC107784025"	777	573	825	383	524	542
"LOC107784027"	0	0	0	0	0	0
"LOC107784028"	12	6	2	8	8	0
"LOC107784029"	33	43	24	6	17	32
"LOC107784031"	522	391	494	181	322	278
"LOC107784034"	423	440	462	289	294	303
"LOC107784033"	2344	2229	2259	4351	4237	3675
"LOC107784030"	64	45	31	35	59	28
"LOC107784035"	0	0	0	0	0	0
"LOC107784036"	0	0	0	0	0	0
"LOC107784037"	644	371	915	1882	3421	3509
"LOC107784039"	766	529	599	376	331	351
"LOC107784040"	13	8	12	9	15	41
"LOC107784041"	139	137	95	60	128	119
"LOC107784042"	0	0	0	0	0	0
"LOC107784043"	107	176	53	54	81	71
"LOC107784045"	83	210	176	142	99	109
"LOC107784044"	11	12	10	8	13	14
"LOC107784046"	79	50	77	31	54	36
"LOC107784047"	1917	1970	2132	1143	1300	1159
"TRNAR-CCG_5"	0	0	0	0	0	0
"LOC107784048"	4738	3861	4896	2990	3583	3696
"LOC107784049"	138	76	81	90	99	122
"LOC107784051"	2	2	0	2	4	8
"LOC107784053"	26	35	45	21	30	29
"LOC107784052"	0	0	0	0	0	0
"LOC107784054"	474	447	489	372	406	359
"LOC107784056"	156	211	216	143	122	142
"LOC107784055"	348	315	353	305	227	272
"LOC107784057"	163	183	161	175	187	172
"LOC107784058"	256	412	216	125	136	116
"LOC107784060"	743	771	769	868	824	838
"LOC107784059"	616	680	390	100	84	47
"LOC107784061"	858	923	1088	869	927	962
"LOC107784065"	24	38	11	50	48	71
"LOC107784063"	40	43	15	32	33	11
"LOC107784066"	0	2	14	0	1	6
"LOC107784068"	266	231	258	154	166	262
"LOC107784070"	139	103	140	96	112	177
"LOC107784071"	457	383	614	799	644	895
"LOC107784072"	178	141	150	287	236	256
"LOC107784073"	108	113	149	98	113	123
"LOC107784064"	12	0	2	2	4	1
"LOC107784075"	363	503	308	228	127	148
"LOC107784074"	2	25	21	2	13	27
"LOC107784076"	45	29	81	52	60	81
"TRNAK-CUU_24"	0	0	0	0	0	0
"LOC107784079"	11	0	11	2	1	2
"LOC107784080"	0	0	0	0	2	0
"LOC107784081"	0	0	0	0	0	0
"LOC107784082"	856	682	913	577	507	1029
"LOC107784083"	619	536	829	458	462	521
"LOC107784084"	20	10	8	2	2	4
"LOC107784086"	12	10	22	6	2	6
"LOC107784085"	0	0	0	0	0	0
"LOC107784087"	10	4	0	0	2	2
"LOC107784088"	138	216	163	268	158	150
"LOC107784089"	0	0	0	0	0	0
"LOC107784090"	42	36	62	46	39	44
"LOC107784091"	6	6	1	18	27	22
"LOC107784092"	148	109	213	86	79	166
"LOC107784093"	28	8	10	13	8	59
"LOC107784094"	1372	1509	1527	1596	1433	1857
"LOC107784095"	279	286	302	157	170	233
"LOC107784096"	0	0	0	0	0	0
"LOC107784097"	748	400	1000	431	593	665
"LOC107784098"	56	59	48	36	46	30
"LOC107784099"	156	224	246	118	143	190
"LOC107784101"	1346	1443	1343	1827	1692	2014
"LOC107784103"	2792	2728	3052	2538	2491	2965
"LOC107784102"	2	2	2	2	2	0
"LOC107784105"	2	0	11	0	0	4
"LOC107784104"	4	0	2	0	0	0
"LOC107784106"	28	32	30	19	24	17
"LOC107784107"	0	0	0	0	0	0
"LOC107784109"	363	321	468	310	328	465
"LOC107784110"	426	395	431	541	484	391
"LOC107784111"	11	26	31	15	33	43
"LOC107784113"	2	4	2	0	0	3
"LOC107784115"	18	2	0	24	11	16
"LOC107784116"	152	121	115	94	102	113
"LOC107784114"	10	6	2	8	4	2
"LOC107784121"	1323	1018	1418	1543	1594	1749
"LOC107784120"	2	0	2	0	2	0
"LOC107784122"	10	6	10	2	4	7
"LOC107784123"	6	15	1	0	6	2
"LOC107784125"	196	208	247	306	323	425
"LOC107784119"	0	0	0	0	0	0
"LOC107784126"	0	0	0	0	0	0
"LOC107784127"	79	22	60	49	26	34
"LOC107784129"	161	171	204	251	293	275
"LOC107784131"	3896	2435	3621	3094	3231	3242
"LOC107784130"	4	2	2	0	0	0
"LOC107784132"	186	166	260	164	212	160
"LOC107784133"	35	25	40	19	33	34
"LOC107784135"	119	106	121	84	108	124
"TRNAN-GUU_47"	0	0	0	0	0	0
"LOC107784137"	249	188	295	284	255	356
"LOC107784136"	30	23	40	10	10	40
"LOC107784138"	133	200	190	270	213	311
"LOC107784140"	6	6	28	14	40	20
"LOC107784141"	216	245	280	125	122	196
"LOC107784142"	0	0	0	0	0	1
"LOC107784143"	8	9	12	4	0	22
"LOC107784144"	21	23	21	4	30	29
"LOC107784145"	0	0	0	0	0	0
"LOC107784146"	15	59	43	12	18	34
"LOC107784147"	720	780	801	731	742	918
"LOC107784148"	729	342	714	339	354	371
"LOC107784150"	227	269	254	204	222	261
"TRNAH-GUG_17"	0	0	0	0	0	0
"LOC107784152"	158	259	282	107	308	231
"LOC107784151"	35	38	32	34	62	49
"LOC107784154"	172	134	205	112	97	134
"LOC107784155"	0	0	0	0	0	0
"TRNAK-UUU_26"	0	0	0	0	0	0
"LOC107784157"	134	146	176	135	101	140
"LOC107784159"	1091	915	1287	2451	2036	2102
"LOC107784158"	497	424	532	301	281	325
"LOC107784164"	616	338	770	278	338	423
"LOC107784165"	2582	1338	2628	1064	1280	1836
"LOC107784166"	258	156	220	363	345	296
"LOC107784162"	46	61	76	175	168	144
"LOC107784160"	2454	2351	2377	2800	3276	3185
"LOC107784163"	141	76	259	25	75	94
"LOC107784167"	239	226	328	483	375	365
"LOC107784168"	0	0	0	0	0	0
"LOC107784170"	973	976	955	684	874	843
"LOC107784171"	0	0	0	0	0	0
"LOC107784172"	1787	1702	1985	1762	1982	1996
"LOC107784173"	541	658	690	383	426	496
"LOC107784175"	473	505	476	487	484	438
"LOC107784174"	2	0	0	4	2	6
"LOC107784177"	1195	1035	1312	1346	1349	1406
"LOC107784176"	420	362	358	323	331	449
"LOC107784179"	997	760	1090	1084	1081	1335
"LOC107784182"	26	65	50	13	33	49
"LOC107784180"	722	728	735	569	608	605
"LOC107784184"	0	1	0	0	0	0
"LOC107784183"	0	2	2	0	0	0
"LOC107784181"	0	0	0	2	2	0
"LOC107784187"	2	6	6	14	26	11
"LOC107784188"	0	0	0	4	2	2
"LOC107784186"	0	0	0	0	0	0
"LOC107784191"	1467	1279	1485	911	839	1549
"LOC107784190"	0	0	0	2	2	4
"LOC107784192"	12	20	11	4	4	16
"LOC107784193"	1984	1677	1942	1144	1191	1775
"LOC107784195"	0	0	0	0	0	0
"LOC107784196"	0	0	0	0	0	0
"LOC107784197"	677	521	780	148	282	394
"LOC107784198"	953	841	1123	670	827	1102
"LOC107784200"	15	2	3	1	7	2
"LOC107784199"	1652	1770	1650	1854	1784	2090
"LOC107784202"	838	392	1001	174	304	710
"LOC107784201"	937	828	1266	981	930	1219
"LOC107784203"	178	156	177	158	219	244
"LOC107784204"	314	371	463	281	280	426
"LOC107784206"	309	339	298	244	262	287
"LOC107784205"	0	0	0	0	0	0
"LOC107784207"	214	163	245	127	192	225
"LOC107784210"	40	14	45	4	2	3
"LOC107784208"	0	0	0	0	0	0
"LOC107784212"	171	321	218	44	90	189
"LOC107784211"	90	119	148	26	22	66
"LOC107784214"	3285	2113	3066	5772	5467	4912
"LOC107784213"	376	348	366	474	567	557
"LOC107784216"	50	25	43	44	63	82
"LOC107784218"	23	19	35	20	25	46
"LOC107784219"	359	294	406	347	329	397
"LOC107784217"	2	0	0	0	0	5
"LOC107784220"	2987	2579	2790	4166	3755	4114
"LOC107784221"	257	336	448	742	1031	662
"LOC107784222"	18	22	22	28	10	28
"LOC107784223"	495	531	569	421	464	613
"TRNAK-UUU_27"	0	0	0	0	0	0
"TRNAK-UUU_28"	0	0	0	0	0	0
"LOC107784225"	839	795	973	383	449	517
"LOC107784226"	152	331	213	38	40	116
"LOC107784231"	78	95	100	51	37	74
"LOC107784230"	28	29	28	21	18	25
"LOC107784229"	0	0	0	0	0	4
"LOC107784233"	0	0	4	2	0	0
"LOC107784234"	0	0	0	0	0	0
"LOC107784235"	799	842	874	548	500	596
"LOC107784236"	0	0	0	0	0	0
"TRNAV-CAC_13"	0	0	0	0	0	0
"LOC107784238"	124	163	122	91	82	130
"LOC107784240"	113	120	178	92	119	107
"LOC107784241"	350	540	509	346	341	321
"LOC107784242"	0	0	0	0	0	0
"LOC107784243"	0	0	0	0	0	0
"LOC107784246"	310	235	257	974	714	697
"LOC107784247"	708	634	723	855	835	1126
"LOC107784244"	0	0	0	0	0	0
"LOC107784245"	0	0	0	0	0	0
"LOC107784249"	0	0	0	0	0	0
"LOC107784250"	214	160	289	137	114	97
"LOC107784251"	182	163	193	120	155	181
"LOC107784252"	666	350	794	199	258	324
"LOC107784254"	21	4	20	11	5	21
"LOC107784256"	2	2	2	0	0	2
"LOC107784255"	1	2	0	0	0	0
"LOC107784257"	0	0	0	0	0	0
"LOC107784259"	805	834	928	465	672	658
"LOC107784260"	486	423	579	453	462	507
"LOC107784261"	0	0	0	0	0	0
"LOC107784262"	212	205	232	235	202	278
"LOC107784263"	2	4	6	4	8	34
"LOC107784265"	0	0	0	0	0	0
"LOC107784267"	6427	8392	7546	1870	2143	2624
"LOC107784268"	355	215	504	157	191	223
"LOC107784266"	48	30	25	16	30	33
"TRNAQ-CUG_9"	0	0	0	0	0	0
"LOC107784271"	28	26	33	31	31	46
"LOC107784270"	44	67	97	85	65	114
"LOC107784272"	415	371	501	414	433	576
"LOC107784277"	35	23	18	0	0	4
"LOC107784276"	10	8	10	0	0	3
"LOC107784273"	0	0	0	0	0	0
"LOC107784274"	0	0	0	0	0	0
"LOC107784278"	3383	1963	4171	6097	6147	8208
"LOC107784279"	544	444	603	204	215	258
"LOC107784282"	5702	3163	5769	3332	2643	5658
"LOC107784281"	0	2	0	0	0	0
"LOC107784283"	2380	1881	2739	1546	1900	2143
"LOC107784284"	5260	5164	6635	3754	3912	5881
"TRNAP-AGG_16"	0	0	0	0	0	0
"LOC107784291"	45	47	46	12	20	12
"LOC107784292"	595	507	503	397	355	360
"LOC107784289"	6	0	5	0	0	0
"LOC107784290"	0	0	0	0	0	0
"LOC107784288"	0	0	2	0	0	0
"LOC107784294"	0	0	0	0	0	0
"LOC107784295"	2676	2962	2815	3116	2503	2972
"LOC107784296"	0	6	4	4	0	2
"LOC107784297"	1705	1710	2174	1681	1826	2512
"LOC107784298"	117	120	149	67	58	65
"LOC107784299"	0	0	0	0	0	0
"LOC107784300"	0	2	0	0	0	0
"LOC107784301"	100	115	84	67	119	65
"LOC107784302"	313	396	415	375	402	388
"LOC107784303"	297	185	461	213	359	523
"LOC107784305"	113	103	137	137	111	176
"LOC107784306"	500	445	550	633	722	844
"LOC107784304"	687	718	715	391	423	477
"LOC107784307"	69	193	94	601	707	375
"LOC107784308"	60	152	61	40	64	26
"LOC107784310"	40	47	19	44	31	31
"LOC107784309"	0	0	0	0	0	0
"LOC107784312"	0	0	0	0	0	0
"LOC107784313"	375	294	408	327	410	596
"LOC107784314"	0	0	0	0	0	0
"LOC107784315"	0	0	0	0	0	0
"LOC107784316"	64	97	71	101	116	104
"LOC107784317"	0	0	0	0	0	0
"LOC107784318"	0	0	0	0	0	0
"LOC107784319"	800	800	985	1534	1428	1508
"LOC107784320"	948	981	1141	752	884	776
"LOC107784321"	243	289	489	583	634	657
"LOC107784323"	88	101	64	39	51	47
"LOC107784322"	500	378	398	397	316	388
"LOC107784324"	54	22	70	20	20	68
"LOC107784325"	994	1086	1100	573	674	573
"LOC107784326"	0	0	4	6	0	0
"LOC107784327"	51	82	65	48	33	78
"LOC107784332"	43050	38156	40969	38529	41351	42486
"LOC107784330"	236	210	365	412	325	461
"TRNAE-CUC_25"	0	0	0	0	0	0
"LOC107784333"	1192	1297	1409	724	763	878
"LOC107784334"	92	147	94	149	123	164
"TRNAK-CUU_25"	0	0	0	0	0	0
"TRNAG-GCC_31"	0	0	0	0	0	0
"LOC107784338"	0	0	0	0	0	0
"LOC107784339"	365	415	405	348	495	907
"LOC107784340"	1589	1314	1658	1331	1246	1717
"LOC107784341"	652	694	795	544	589	558
"LOC107784343"	5	2	0	0	4	2
"LOC107784346"	486	377	613	258	264	309
"LOC107784347"	1295	1299	1592	1368	1560	1527
"LOC107784348"	1021	940	1056	926	931	1034
"LOC107784349"	318	321	329	256	307	329
"LOC107784345"	18	24	60	34	17	23
"LOC107784350"	4187	2666	5127	2359	1983	2996
"LOC107784344"	2	2	0	0	0	2
"LOC107784352"	177	148	256	225	151	126
"TRNAY-GUA_41"	0	0	0	0	0	0
"LOC107784354"	68	42	81	45	36	33
"LOC107784355"	2550	2522	2908	1562	1573	1839
"LOC107784356"	0	0	0	4	3	4
"LOC107784357"	227	215	248	147	186	214
"LOC107784358"	45	43	77	19	23	19
"LOC107784359"	43	26	52	24	23	65
"LOC107784360"	58014	90554	49822	38840	50640	40072
"LOC107784363"	666	875	804	818	1154	790
"LOC107784364"	0	0	0	0	0	0
"LOC107784365"	0	0	2	0	7	0
"LOC107784366"	749	321	822	237	180	288
"LOC107784367"	149	179	192	76	98	134
"LOC107784368"	318	251	398	376	343	433
"LOC107784371"	74	72	77	80	32	81
"LOC107784372"	214	230	225	176	170	152
"TRNAK-UUU_29"	0	0	0	0	0	0
"LOC107784373"	398	399	484	494	541	533
"LOC107784374"	1144	1228	1521	1022	1102	1337
"LOC107784376"	4	4	24	0	2	0
"LOC107784377"	2	2	10	0	4	6
"LOC107784379"	194	164	198	945	887	1006
"LOC107784380"	320	380	310	985	841	787
"LOC107784381"	90	108	134	133	125	89
"LOC107784382"	332	392	415	112	145	189
"LOC107784383"	9	8	12	18	4	26
"LOC107784384"	437	313	522	230	261	342
"LOC107784387"	143	98	144	30	45	67
"LOC107784388"	52	62	60	43	50	36
"LOC107784390"	0	0	0	0	0	0
"LOC107784393"	2	0	0	0	0	0
"LOC107784392"	18	14	8	11	4	12
"LOC107784395"	42	79	27	66	28	38
"LOC107784396"	2732	2933	2498	1604	1326	1762
"LOC107784394"	0	0	0	0	0	0
"LOC107784399"	4	19	8	10	12	22
"LOC107784398"	30	14	63	4	0	27
"LOC107784397"	0	0	0	0	0	0
"LOC107784400"	0	0	0	0	0	0
"LOC107784404"	36	38	32	70	69	68
"LOC107784402"	0	0	0	0	0	0
"LOC107784403"	0	0	0	0	0	0
"LOC107784401"	0	0	0	0	0	0
"LOC107784406"	20	14	65	20	49	40
"LOC107784408"	90	93	130	154	211	227
"LOC107784407"	43	72	71	17	23	41
"LOC107784405"	0	0	0	0	0	0
"LOC107784409"	182	142	226	60	60	84
"LOC107784410"	1981	2156	2196	1283	1314	1355
"LOC107784411"	225	216	280	158	218	287
"LOC107784412"	1	1	0	2	2	3
"LOC107784413"	0	0	0	0	0	0
"LOC107784414"	559	473	352	398	394	466
"LOC107784418"	48	112	65	243	273	166
"LOC107784417"	4	1	8	2	7	2
"LOC107784419"	851	620	866	616	657	766
"LOC107784424"	46	40	50	67	60	50
"LOC107784420"	0	0	0	0	0	0
"LOC107784421"	0	0	0	0	0	0
"LOC107784423"	0	0	2	0	0	0
"LOC107784422"	2	6	0	2	8	6
"LOC107784426"	0	0	0	0	0	0
"LOC107784428"	16	6	8	24	102	10
"LOC107784429"	167	139	152	90	87	88
"LOC107784427"	0	0	0	0	0	0
"LOC107784430"	0	0	0	0	0	0
"LOC107784431"	0	0	0	0	0	0
"LOC107784432"	0	0	0	0	0	0
"LOC107784433"	125	54	97	71	47	47
"LOC107784434"	37	28	49	16	38	36
"LOC107784435"	300	267	378	449	473	455
"LOC107784436"	0	0	0	0	0	0
"LOC107784437"	489	521	636	315	358	400
"LOC107784438"	514	695	530	547	611	615
"LOC107784439"	45	66	96	58	90	70
"LOC107784441"	376	352	409	180	152	202
"LOC107784444"	65	68	100	319	264	190
"LOC107784442"	0	0	0	0	0	0
"LOC107784445"	6	8	6	1	5	0
"LOC107784443"	0	0	0	0	0	0
"LOC107784447"	0	0	0	0	0	0
"LOC107784448"	0	0	0	0	0	0
"LOC107784452"	1269	1015	1130	1263	881	926
"LOC107784453"	605	834	942	593	636	913
"LOC107784449"	0	0	0	0	0	0
"LOC107784451"	0	0	0	0	0	0
"LOC107784455"	0	0	0	0	0	0
"LOC107784454"	14	51	8	8	13	3
"LOC107784456"	263	288	299	371	401	459
"LOC107784457"	21	41	32	17	22	33
"LOC107784458"	245	242	339	229	211	289
"LOC107784459"	442	375	522	189	311	360
"LOC107784460"	2	0	0	2	2	0
"LOC107784461"	118	130	131	130	120	144
"LOC107784462"	162	153	268	179	131	376
"LOC107784465"	77	97	74	43	77	78
"LOC107784463"	2	0	2	0	0	0
"LOC107784464"	1778	1811	1784	991	1390	1310
"LOC107784466"	358	419	302	347	310	343
"LOC107784467"	2692	2627	2961	2502	2439	2158
"LOC107784468"	0	0	0	0	0	0
"LOC107784469"	309	305	356	304	314	335
"LOC107784470"	268	164	222	200	162	190
"LOC107784471"	1809	1993	1941	1814	2010	1986
"LOC107784473"	11	6	10	10	6	18
"LOC107784472"	4	0	2	0	6	12
"LOC107784474"	0	0	0	0	2	2
"LOC107784475"	2	2	0	0	0	0
"LOC107784476"	56	53	59	23	33	27
"LOC107784477"	0	0	0	0	1	0
"LOC107784478"	0	0	0	0	0	0
"LOC107784479"	0	0	0	0	0	0
"LOC107784480"	174	179	168	328	323	293
"LOC107784481"	0	0	0	0	0	0
"LOC107784482"	33	6	16	2	4	19
"LOC107784483"	0	0	0	0	0	0
"LOC107784484"	236	225	250	195	212	226
"LOC107784485"	0	0	0	0	0	0
"LOC107784486"	31	30	72	45	54	54
"LOC107784487"	0	0	0	0	0	0
"LOC107784488"	43	16	68	28	14	32
"LOC107784489"	110	77	167	28	38	40
"LOC107784491"	8	0	8	10	6	51
"LOC107784490"	0	0	0	0	0	0
"LOC107784492"	15	16	16	11	9	18
"LOC107784493"	0	0	0	0	0	0
"LOC107784494"	82	68	85	52	39	89
"LOC107784495"	0	0	0	0	0	0
"LOC107784496"	0	0	0	0	0	0
"LOC107784497"	593	370	676	541	487	392
"LOC107784498"	0	0	0	0	0	0
"LOC107784499"	0	0	0	0	0	0
"LOC107784500"	241	183	175	171	150	189
"LOC107784501"	3019	2021	3345	2012	2187	2583
"LOC107784502"	0	0	0	0	0	0
"TRNAE-CUC_26"	0	0	0	0	0	0
"TRNAT-AGU_16"	0	0	0	0	0	0
"LOC107784505"	152	166	194	211	204	281
"LOC107784508"	10	4	8	3	10	6
"LOC107784509"	54	66	50	25	8	21
"LOC107784506"	0	0	0	0	0	0
"LOC107784507"	199	298	204	128	66	80
"LOC107784510"	74	73	102	169	193	200
"LOC107784511"	0	0	0	0	0	0
"LOC107784515"	0	2	0	0	2	0
"LOC107784512"	0	0	0	0	0	0
"LOC107784513"	0	0	0	0	0	0
"LOC107784516"	1166	380	1305	48	67	60
"LOC107784517"	341	379	513	220	201	320
"LOC107784518"	469	457	552	397	448	496
"LOC107784519"	62	56	76	60	74	65
"LOC107784521"	267	220	266	155	148	221
"LOC107784520"	532	625	719	1151	1089	1418
"LOC107784522"	27	17	39	9	13	9
"LOC107784523"	5	15	8	18	25	12
"LOC107784524"	280	311	317	232	240	224
"LOC107784526"	10	4	4	4	6	4
"LOC107784525"	309	459	393	260	306	304
"LOC107784527"	246	274	255	244	239	292
"TRNAP-CGG_8"	0	0	0	0	0	0
"LOC107784529"	221	94	220	92	90	156
"LOC107784530"	129	108	154	149	201	162
"LOC107784531"	282	227	352	696	993	662
"LOC107784533"	0	0	0	0	0	0
"LOC107784534"	0	0	0	0	0	2
"LOC107784536"	6435	6749	6198	6060	6303	6611
"LOC107784537"	0	0	0	0	0	7
"LOC107784538"	0	4	4	6	2	0
"LOC107784535"	0	0	0	6	0	0
"LOC107784539"	676	585	731	253	357	277
"LOC107784541"	3096	2129	3451	2171	2547	2647
"LOC107784542"	1177	851	1574	874	1185	1882
"LOC107784543"	0	0	2	2	2	2
"LOC107784544"	1851	1571	1822	833	942	920
"LOC107784545"	38	41	39	21	46	43
"LOC107784546"	0	0	0	0	0	0
"LOC107784548"	0	4	2	0	1	0
"LOC107784549"	7	22	8	8	6	20
"LOC107784550"	336	358	437	428	416	573
"LOC107784553"	16569	16800	18506	20951	22257	25128
"LOC107784555"	922	832	1158	851	885	804
"LOC107784554"	509	423	588	548	470	678
"LOC107784551"	0	0	0	0	0	0
"LOC107784556"	711	799	858	1124	1316	1361
"LOC107784557"	3	8	5	5	0	4
"LOC107784558"	8	2	27	9	11	14
"LOC107784559"	207	164	188	140	124	184
"LOC107784560"	293	255	352	302	353	401
"LOC107784562"	484	367	657	665	603	742
"LOC107784561"	0	0	0	0	0	0
"LOC107784564"	196	202	196	150	182	183
"LOC107784563"	0	0	0	0	0	0
"LOC107784565"	1174	831	1405	2098	2974	2975
"TRNAG-GCC_32"	0	0	0	0	0	0
"TRNAM-CAU_60"	0	0	0	0	0	0
"LOC107784569"	6	0	0	0	0	0
"LOC107784570"	90	67	113	22	20	12
"LOC107784571"	898	596	696	667	645	656
"LOC107784572"	26	18	4	15	15	5
"LOC107784574"	0	0	0	0	0	0
"LOC107784575"	2	1	0	0	0	4
"LOC107784576"	113	93	101	53	90	74
"LOC107784577"	4	0	6	8	0	6
"LOC107784578"	131	164	120	192	143	212
"LOC107784580"	0	0	2	0	0	0
"LOC107784579"	0	0	0	0	0	0
"LOC107784582"	48	29	46	16	25	44
"LOC107784581"	0	0	0	0	0	0
"LOC107784583"	856	695	1953	639	1005	996
"LOC107784584"	961	989	1105	1573	1566	1568
"LOC107784585"	1125	1373	1109	811	611	637
"LOC107784586"	65	44	48	22	23	30
"LOC107784587"	95	80	83	34	19	47
"LOC107784588"	133	115	130	47	70	99
"LOC107784589"	128	112	170	167	201	179
"LOC107784592"	10139	8994	10786	8321	11250	10601
"LOC107784593"	447	451	550	253	318	361
"LOC107784590"	0	0	0	0	0	0
"LOC107784591"	0	0	0	0	0	0
"LOC107784595"	2	0	2	2	0	0
"LOC107784594"	0	0	0	0	0	0
"LOC107784596"	0	0	0	0	0	0
"LOC107784597"	0	1	2	0	2	0
"LOC107784598"	394	510	448	259	338	301
"LOC107784600"	88	81	150	19	43	131
"LOC107784599"	234	261	271	267	243	344
"LOC107784601"	0	0	0	0	0	0
"LOC107784603"	27	49	39	3	17	28
"LOC107784604"	179	246	129	210	201	168
"LOC107784605"	218	147	236	94	143	232
"LOC107784606"	575	727	699	456	476	573
"LOC107784607"	344	277	370	193	230	228
"LOC107784609"	519	504	555	748	949	994
"LOC107784610"	390	253	566	218	278	346
"LOC107784611"	51	16	20	6	12	16
"LOC107784612"	56	24	135	2	0	8
"LOC107784613"	0	0	4	6	0	0
"LOC107784617"	154	147	200	115	112	164
"LOC107784619"	221	252	252	137	183	243
"LOC107784615"	22	32	18	6	6	8
"LOC107784616"	0	2	2	7	2	2
"LOC107784621"	325	321	365	227	249	305
"LOC107784622"	29701	20909	29419	42174	43936	50479
"LOC107784620"	25	11	63	8	14	38
"LOC107784623"	26	10	20	0	22	14
"LOC107784624"	0	0	0	0	0	0
"LOC107784625"	32	24	34	10	12	18
"LOC107784627"	1183	1166	1302	1964	1880	1862
"LOC107784626"	0	0	0	0	0	0
"LOC107784628"	460	477	596	451	452	526
"LOC107784630"	0	0	0	0	0	0
"LOC107784631"	241	208	252	197	231	218
"LOC107784632"	249	254	330	485	534	680
"LOC107784633"	524	521	516	329	221	279
"TRNAL-CAG_10"	0	0	0	0	0	0
"LOC107784634"	75	52	120	31	42	94
"LOC107784636"	2629	2297	2888	1647	1567	1755
"LOC107784637"	1132	803	1246	1059	895	1402
"LOC107784638"	655	723	728	488	472	506
"LOC107784640"	184	83	110	28	36	79
"LOC107784641"	292	334	289	218	176	209
"LOC107784642"	0	0	4	0	4	0
"LOC107784643"	2323	2309	2495	1884	1619	1889
"LOC107784644"	406	546	510	449	464	573
"TRNAS-GCU_23"	0	0	0	0	0	0
"LOC107784647"	1	0	0	0	0	0
"LOC107784646"	0	0	0	0	0	0
"LOC107784648"	37	48	52	49	57	91
"LOC107784649"	735	394	654	465	602	602
"LOC107784652"	452	371	542	279	300	430
"LOC107784650"	2	0	0	0	2	2
"LOC107784653"	0	0	0	0	0	0
"LOC107784654"	1506	1801	1888	1581	1461	1607
"LOC107784656"	19	10	24	9	9	9
"LOC107784655"	338	218	344	117	100	193
"LOC107784657"	4899	5193	5371	4011	3814	4934
"LOC107784658"	80	43	92	44	50	103
"LOC107784659"	387	289	427	290	293	385
"LOC107784661"	341	269	280	161	150	217
"LOC107784662"	3851	3847	3708	3634	3869	4022
"LOC107784663"	2	24	25	22	23	60
"LOC107784664"	54	54	67	49	28	39
"LOC107784666"	0	0	1	0	0	0
"LOC107784665"	0	0	0	0	0	0
"LOC107784667"	2686	3194	3585	3858	3654	4183
"LOC107784669"	281	267	311	183	135	136
"LOC107784670"	0	0	0	0	0	0
"LOC107784671"	124	189	102	135	105	124
"LOC107784672"	220	235	209	118	111	136
"LOC107784673"	0	0	0	0	0	0
"LOC107784674"	98	135	179	106	166	150
"LOC107784675"	739	666	661	554	558	563
"LOC107784676"	422	384	410	221	259	306
"LOC107784677"	968	782	1054	999	1037	1311
"LOC107784678"	238	211	216	123	174	166
"LOC107784679"	556	531	487	459	527	540
"LOC107784681"	559	520	525	276	312	338
"LOC107784682"	3	0	0	8	2	0
"LOC107784683"	0	0	0	0	0	0
"LOC107784684"	0	0	0	0	0	0
"LOC107784685"	36	16	50	9	6	2
"LOC107784686"	47	49	63	87	65	91
"LOC107784687"	666	554	677	240	169	216
"LOC107784690"	388	474	496	259	257	269
"LOC107784688"	0	0	0	0	0	0
"LOC107784691"	10	10	22	2	11	47
"LOC107784692"	189	117	248	155	220	232
"LOC107784693"	0	0	0	0	0	0
"LOC107784694"	6	2	10	10	6	14
"LOC107784695"	0	0	2	0	1	0
"LOC107784696"	0	0	0	0	0	0
"LOC107784698"	86	78	90	44	48	47
"LOC107784699"	39	43	44	20	44	18
"LOC107784701"	23	47	26	21	27	55
"LOC107784700"	48	47	45	34	33	44
"LOC107784702"	158	125	175	107	158	184
"LOC107784703"	3447	3684	3864	3700	3624	4230
"TRNAN-GUU_48"	0	0	0	0	0	0
"LOC107784707"	1824	1952	2123	1768	1826	1940
"LOC107784709"	486	486	454	354	334	437
"LOC107784710"	14	25	18	145	105	112
"LOC107784711"	2	0	0	2	0	2
"LOC107784712"	418	284	323	186	139	192
"LOC107784713"	124	148	200	137	142	149
"LOC107784714"	109	130	135	128	126	118
"LOC107784716"	1836	1868	2379	1378	1630	1481
"LOC107784717"	39	26	51	55	60	58
"LOC107784718"	10	0	0	2	0	2
"LOC107784719"	0	0	0	0	0	0
"LOC107784721"	231	330	308	158	121	256
"LOC107784720"	20	24	30	3	4	18
"LOC107784722"	0	1	0	0	0	0
